date,top_contrib,total_contrib
2024-07-16,0.0,0.0
2024-07-23,0.0,0.0
2024-07-30,0.0,0.0
2024-08-06,0.0,0.0
2024-08-13,0.0,0.0
2024-08-20,0.0,0.0
2024-08-27,0.0,0.0
2024-09-03,0.0,0.0
2024-09-10,0.0,0.0
2024-09-17,0.0,0.0
2024-09-24,0.0,0.0
2024-10-01,0.0,0.0
2024-10-08,0.0,0.0
2024-10-15,0.0,0.0
2024-10-22,0.0,0.0
2024-10-29,0.0,0.0
2024-11-05,0.0,0.0
2024-11-12,0.0,0.0
2024-11-19,0.0,0.0
2024-11-26,0.0,0.0
2024-12-03,0.0,0.0
2024-12-10,0.0,0.0
2024-12-17,0.0,0.0
2024-12-24,0.0,0.0
2024-12-31,0.0,0.0
2025-01-07,0.0,0.0
2025-01-14,0.0,0.0
2025-01-21,0.0,0.0
2025-01-28,0.0,0.0
2025-02-04,0.0,0.0
2025-02-11,0.0,0.0
2025-02-18,0.0,0.0
2025-02-25,0.0,0.0
2025-03-04,0.0,0.0
2025-03-11,0.0,0.0
2025-03-18,0.0,0.0
2025-03-25,0.0,0.0
2025-04-01,0.0,0.0
2025-04-08,0.0,0.0
2025-04-15,0.0,0.0
2025-04-22,0.0,0.0
2025-04-29,0.0,0.0
2025-05-06,0.0,0.0
2025-05-13,0.0,0.0
2025-05-20,0.0,0.0
2025-05-27,0.0,0.0
2025-06-03,0.0,0.0
2025-06-10,0.0,0.0
2025-06-17,0.0,0.0
2025-06-24,0.0,0.0
2025-07-01,0.0,0.0
2025-07-08,0.0,0.0
2025-07-15,0.0,0.0
2025-07-22,0.0,0.0
2025-07-29,0.0,0.0
2025-08-05,0.0,0.0
2025-08-12,0.0,0.0
2025-08-19,0.0,0.0
2025-08-26,0.0,0.0
2025-09-02,0.0,0.0
2025-09-09,0.0,0.0
2025-09-16,0.0,0.0
2025-09-23,0.0,0.0
2025-09-30,0.0,0.0
2025-10-07,0.0,0.0
2025-10-14,0.0,0.0
2025-10-21,0.0,0.0
2025-10-28,0.0,0.0
2025-11-04,0.0,0.0
2025-11-11,0.0,0.0
2025-11-18,0.0,0.0
2025-11-25,0.0,0.0
2025-12-02,0.0,0.0
2025-12-09,0.0,0.0
2025-12-16,0.0,0.0
2025-12-23,0.0,0.0
2025-12-30,0.0,0.0
2026-01-06,0.0,0.0
2026-01-13,0.0,0.0
2026-01-20,0.0,0.0
